time.index,year,month,sales.volume,avg.price
1,2010,1,42754,167469
2,2010,2,49017,167888
3,2010,3,59716,167878
4,2010,4,61352,170028
5,2010,5,60892,170846
6,2010,6,72734,171689
7,2010,7,77807,173427
8,2010,8,70927,173417
9,2010,9,66690,172972
10,2010,10,68601,171045
11,2010,11,65440,169013
12,2010,12,65416,168703
13,2011,1,43999,167300
14,2011,2,45807,166415
15,2011,3,54489,165649
16,2011,4,59195,168218
17,2011,5,57437,167470
18,2011,6,67036,167753
19,2011,7,72454,169866
20,2011,8,74282,169968
21,2011,9,73949,169544
22,2011,10,67227,167673
23,2011,11,69850,167757
24,2011,12,72822,167048
25,2012,1,51610,165908
26,2012,2,52216,165457
27,2012,3,71569,165947
28,2012,4,52179,167854
29,2012,5,61885,168395
30,2012,6,70653,170049
31,2012,7,69003,170701
32,2012,8,76293,170902
33,2012,9,62415,170295
34,2012,10,69354,169090
35,2012,11,74805,169227
36,2012,12,66307,168843
37,2013,1,51419,167716
38,2013,2,52938,167682
39,2013,3,64483,168681
40,2013,4,61104,170335
41,2013,5,77967,171234
42,2013,6,77812,172655
43,2013,7,85692,174592
44,2013,8,92501,175982
45,2013,9,82023,176098
46,2013,10,91792,175378
47,2013,11,99078,176352
48,2013,12,93910,177971
49,2014,1,78627,178182
50,2014,2,77508,178921
51,2014,3,81376,179537
52,2014,4,85557,183532
53,2014,5,94248,185476
54,2014,6,97503,187077
55,2014,7,100944,189709
56,2014,8,105336,191932
57,2014,9,94568,192138
58,2014,10,104082,191855
59,2014,11,90040,191209
60,2014,12,92815,191669
61,2015,1,69896,190665
62,2015,2,70147,190827
63,2015,3,80746,191537
64,2015,4,78765,193225
65,2015,5,89669,195313
66,2015,6,100504,196802
67,2015,7,110102,200142
68,2015,8,100419,201973
69,2015,9,98440,202389
70,2015,10,108562,202664
71,2015,11,97965,204223
72,2015,12,98508,204920
73,2016,1,75044,205464
74,2016,2,79992,205555
75,2016,3,142209,207667
76,2016,4,67097,208443
77,2016,5,75417,210872
78,2016,6,91718,212887
79,2016,7,97176,215127
80,2016,8,98386,215145
81,2016,9,95699,214816
82,2016,10,89318,214107
83,2016,11,92948,215113
84,2016,12,98707,215500
85,2017,1,72121,215243
86,2017,2,74890,215697
87,2017,3,92846,215236
88,2017,4,80046,218642
89,2017,5,87737,219954
90,2017,6,106006,221833
91,2017,7,96612,224719
92,2017,8,103293,225738
93,2017,9,98642,224895
94,2017,10,97350,225092
95,2017,11,96757,224453
96,2017,12,96136,225330
97,2018,1,71890,224544
98,2018,2,72647,225131
99,2018,3,85498,223772
100,2018,4,75990,225910
101,2018,5,85713,226834
102,2018,6,100147,228355
103,2018,7,93599,231187
104,2018,8,106376,231898
105,2018,9,87977,231454
106,2018,10,97137,231211
107,2018,11,103528,230224
108,2018,12,88255,229800
109,2019,1,68932,228400
110,2019,2,70822,227786
111,2019,3,81584,227283
112,2019,4,76052,228990
113,2019,5,83592,229200
114,2019,6,84631,230452
115,2019,7,88433,233125
116,2019,8,93161,234306
117,2019,9,79830,234759